epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0658,2.50256,6.68447,0.01989,0.00243,0.02304,0.00037,0.0001,2.36762,7.47502,0.02308,0.000164502,0.000164502,0.000164502
2,79.3844,1.8684,5.87744,0.01364,0.76599,0.11532,0.12302,0.05279,1.77338,6.2043,0.01516,0.000314776,0.000314776,0.000314776
3,121.015,1.73497,4.89117,0.01227,0.35171,0.34923,0.27429,0.11874,1.72225,5.19485,0.01418,0.00044855,0.00044855,0.00044855
4,163.165,1.759,3.95938,0.01203,0.45249,0.44811,0.42297,0.19887,1.71098,4.33424,0.01393,0.00042575,0.00042575,0.00042575
5,205.502,1.7248,3.4348,0.01199,0.50146,0.57446,0.55666,0.28185,1.63845,3.52517,0.01285,0.000401,0.000401,0.000401
6,247.404,1.70198,3.02782,0.01154,0.52672,0.60323,0.573,0.29672,1.64281,3.16778,0.01301,0.00037625,0.00037625,0.00037625
7,289.485,1.68132,2.73175,0.01138,0.54591,0.64509,0.64941,0.3327,1.66234,2.79367,0.01357,0.0003515,0.0003515,0.0003515
8,332.269,1.6598,2.49498,0.0113,0.59135,0.67183,0.68884,0.36221,1.61838,2.45534,0.013,0.00032675,0.00032675,0.00032675
9,375.664,1.66693,2.31603,0.01117,0.58863,0.69101,0.71671,0.37823,1.62112,2.22823,0.01296,0.000302,0.000302,0.000302
10,424.026,1.6494,2.16615,0.01115,0.61837,0.70775,0.72946,0.37529,1.65452,2.1649,0.01302,0.00027725,0.00027725,0.00027725
11,463.566,1.62516,2.10532,0.01315,0.58195,0.73889,0.7331,0.40423,1.57651,1.95303,0.01243,0.0002525,0.0002525,0.0002525
12,499.101,1.55746,1.90878,0.01259,0.6457,0.73674,0.76106,0.41905,1.58524,1.81244,0.01252,0.00022775,0.00022775,0.00022775
13,537.901,1.56049,1.76129,0.01264,0.69875,0.7425,0.77919,0.43593,1.56556,1.68805,0.01237,0.000203,0.000203,0.000203
14,577.342,1.52811,1.66703,0.01242,0.6715,0.75652,0.78702,0.44042,1.5664,1.592,0.0124,0.00017825,0.00017825,0.00017825
15,616.488,1.51374,1.60442,0.01215,0.72248,0.76352,0.79633,0.44668,1.54782,1.53032,0.01211,0.0001535,0.0001535,0.0001535
16,656.056,1.5153,1.54727,0.01242,0.70319,0.7642,0.79607,0.45534,1.52834,1.46129,0.01198,0.00012875,0.00012875,0.00012875
17,692.441,1.50215,1.49785,0.01205,0.72332,0.76165,0.80171,0.45917,1.53914,1.40893,0.01196,0.000104,0.000104,0.000104
18,730.963,1.50036,1.45614,0.0122,0.72195,0.76279,0.79944,0.45801,1.53076,1.39327,0.01193,7.925e-05,7.925e-05,7.925e-05
19,768.996,1.4862,1.41395,0.01172,0.71395,0.78377,0.80101,0.46188,1.52749,1.38074,0.01183,5.45e-05,5.45e-05,5.45e-05
20,807.827,1.49322,1.42048,0.01192,0.73166,0.77123,0.80359,0.46507,1.52131,1.36406,0.01178,2.975e-05,2.975e-05,2.975e-05
